,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,year,pros_clean,cons_clean,headline_clean,too_long_pro,too_long_con,Clean_pro_aspect_sentiments,Clean_con_aspect_sentiments,pro_aspect_sentiments,con_aspect_sentiments
122105,Waitrose,2015-10-13, Operations/Supermarket Assistant,Current Employee,"Haslemere, England, England",3,5.0,5.0,,4.0,4.0,3.0,v,r,v,Working at Waitrose,"Great mix of people to work with, I get to carry out many different roles and we get an annual bonus!",I don't always feel like my skill sets are pushed. Also the work can become rather monotonous at times.,2015,great mix of people to work with I get to carry out many different role and we get an annual bonus,I do not always feel like my skill set be push also the work can become rather monotonous at time,work at waitrose,False,False,"{'pay': {1: 0.005661871, 2: 0.0069663855, 3: 0.068405956, 4: 0.44220114, 5: 0.47676465, 'label': 5}, 'people': {1: 0.0046467255, 2: 0.006105917, 3: 0.07034911, 4: 0.45620784, 5: 0.46269038, 'label': 5}, 'job role clarity': {1: 0.005484543, 2: 0.009263736, 3: 0.1108415, 4: 0.52743375, 5: 0.3469764, 'label': 4}}",{},"{'pay': {1: 0.0024898397, 2: 0.0033262258, 3: 0.044538666, 4: 0.42579824, 5: 0.52384704, 'label': 5}, 'people': {1: 0.0021864402, 2: 0.0030610098, 3: 0.046965808, 4: 0.44062215, 5: 0.5071646, 'label': 5}, 'job role clarity': {1: 0.0024985215, 2: 0.004076825, 3: 0.06406355, 4: 0.493151, 5: 0.43621013, 'label': 4}}",{}
83800,Network-Rail,2020-12-09, Graduate,Current Employee,"Milton Keynes, England, England",4,,,,,,,o,o,o,Lovely company to work for,"Very supported
Lovely company to work for
Lots of opportunity to move around the business
Lots of support",Sometimes there is disorganisation with the graduate scheme,2020,very support lovely company to work for lot of opportunity to move around the business lot of support,sometimes there be disorganisation with the graduate scheme,lovely company to work for,False,False,"{'growth': {1: 0.002556176, 2: 0.0044402992, 3: 0.07658581, 4: 0.5088671, 5: 0.40755066, 'label': 4}, 'tools & resources': {1: 0.0025258504, 2: 0.0045882245, 3: 0.07737242, 4: 0.51114416, 5: 0.40436935, 'label': 4}}",{},"{'growth': {1: 0.0020284776, 2: 0.0030717365, 3: 0.049898524, 4: 0.46663484, 5: 0.47836637, 'label': 5}, 'tools & resources': {1: 0.0019768055, 2: 0.003105913, 3: 0.048829343, 4: 0.46597698, 5: 0.48011094, 'label': 5}}",{}
64594,Knight-Frank,2016-07-09, Intern,Former Employee,"London, England, England",5,5.0,,,,,,v,v,v,Internship,Great variety of departments. People all very welcoming and friendly.,Did not experience any cons for the duration of the internship.,2016,great variety of department people all very welcoming and friendly,do not experience any con for the duration of the internship,internship,False,False,"{'people': {1: 0.00714137, 2: 0.010694555, 3: 0.092669606, 4: 0.41533676, 5: 0.4741577, 'label': 5}}",{},"{'people': {1: 0.004827204, 2: 0.008200778, 3: 0.079947114, 4: 0.42099655, 5: 0.48602834, 'label': 5}}",{}
9810,B-and-M-Retail,2021-02-24, Store Manager,"Former Employee, more than 1 year","Luton, East of England, England, England",3,2.0,3.0,3.0,2.0,1.0,2.0,x,x,x,Good team,No issues with the job,Can be long hours especially when completing stocktakes,2021,no issue with the job,can be long hour especially when complete stocktake,good team,False,False,{},{},{},"{'work-life balance': {1: 0.26869634, 2: 0.36509857, 3: 0.26213944, 4: 0.07776102, 5: 0.026304629, 'label': 2}, 'stress & pressure': {1: 0.3523193, 2: 0.3604521, 3: 0.20014307, 4: 0.061078772, 5: 0.026006745, 'label': 2}}"
113272,Unilever,2015-08-13, Anonymous Employee,"Current Employee, more than 10 years","London, England, England",5,4.0,5.0,,4.0,3.0,4.0,v,v,v,New energy with Polman leading transformational change & a culture of doing work that matters,"Agile working, autonomy, responsibility, creativity, fun at work, great culture & teamwork.","Can be Political, can be risk averse, can be slow to move on new opportunities",2015,agile working autonomy responsibility creativity fun at work great culture teamwork,can be political can be risk averse can be slow to move on new opportunity,new energy with polman lead transformational change a culture of do work that matter,False,False,"{'culture': {1: 0.0045423605, 2: 0.008222403, 3: 0.12998965, 4: 0.526003, 5: 0.33124256, 'label': 4}, 'job role clarity': {1: 0.004615411, 2: 0.009277553, 3: 0.14596368, 4: 0.5435463, 5: 0.29659706, 'label': 4}, 'teamwork & collaboration': {1: 0.004104746, 2: 0.0072722184, 3: 0.1191469, 4: 0.5262909, 5: 0.3431853, 'label': 4}}","{'growth': {1: 0.4179597, 2: 0.35666054, 3: 0.17645854, 4: 0.036294278, 5: 0.012626978, 'label': 1}}","{'culture': {1: 0.0020880336, 2: 0.0031452416, 3: 0.057411168, 4: 0.45791215, 5: 0.4794435, 'label': 5}, 'job role clarity': {1: 0.002245517, 2: 0.003979997, 3: 0.07748818, 4: 0.5096563, 5: 0.40663, 'label': 4}, 'teamwork & collaboration': {1: 0.0019216437, 2: 0.0028602195, 3: 0.056334697, 4: 0.4664387, 5: 0.47244468, 'label': 5}}",{}
107902,Tesco,2021-02-26, Customer Assistant Tesco,Current Employee,"Warwick, West Midlands, England, England",3,,,,,,,o,o,o,"Easy job, difficult coworkers","good hours, decent pay, lot of flexibility","coworkers, poor management, team leaders rarely know what theyre doing",2021,good hour decent pay lot of flexibility,coworker poor management team leader rarely know what they re do,easy job difficult coworker,False,False,"{'pay': {1: 0.0071530663, 2: 0.015691563, 3: 0.16723126, 4: 0.51123345, 5: 0.29869068, 'label': 4}, 'work-life balance': {1: 0.007662423, 2: 0.017022619, 3: 0.19706456, 4: 0.5253736, 5: 0.25287688, 'label': 4}, 'flexibility': {1: 0.01228654, 2: 0.024181986, 3: 0.19466996, 4: 0.4943229, 5: 0.27453858, 'label': 4}}","{'management': {1: 0.5692753, 2: 0.30845517, 3: 0.101385005, 4: 0.015345446, 5: 0.005539103, 'label': 1}, 'people': {1: 0.5825904, 2: 0.30364975, 3: 0.09223432, 4: 0.015355577, 5: 0.006169978, 'label': 1}, 'teamwork & collaboration': {1: 0.53672886, 2: 0.32876584, 3: 0.1099011, 4: 0.01847219, 5: 0.0061320616, 'label': 1}}","{'pay': {1: 0.0050880346, 2: 0.011727236, 3: 0.15870412, 4: 0.5511528, 5: 0.2733278, 'label': 4}, 'work-life balance': {1: 0.004547613, 2: 0.011606648, 3: 0.18589416, 4: 0.5717947, 5: 0.22615689, 'label': 4}, 'flexibility': {1: 0.007533725, 2: 0.01779367, 3: 0.18322343, 4: 0.53584194, 5: 0.25560728, 'label': 4}}","{'management': {1: 0.6112112, 2: 0.3057639, 3: 0.06938039, 4: 0.009770913, 5: 0.0038735312, 'label': 1}, 'people': {1: 0.64035386, 2: 0.29262605, 3: 0.055628512, 4: 0.007920756, 5: 0.0034707892, 'label': 1}, 'teamwork & collaboration': {1: 0.57157326, 2: 0.3328164, 3: 0.07839237, 4: 0.012496186, 5: 0.0047218446, 'label': 1}}"
5908,Active-Care-Group,2018-01-25, Live,"Current Employee, more than 1 year","London, England, England",4,5.0,5.0,,5.0,5.0,4.0,v,v,v,The best job I have ever had,"Utter flexibility - it’s almost like being a freelancer, I truly am the one who decides when I am gonna work and when I am gonna go for holidays. 
The job is just so interesting on so many levels! The role of PA is based on constant discovering of new people, places, situations, relationships, competences etc. The variety of potential to find what you are best at or what you like the most, is fantastic. 
The organization is professional, reliable and well established.","Sometimes some communication errors occur, just like everywhere else.",2018,utter flexibility it ’s almost like be a freelancer I truly be the one who decide when I be go to work and when I be go to go for holiday the job be just so interesting on so many level the role of pa be base on constant discovering of new people place situation relationship competence etc the variety of potential to find what you be good at or what you like the most be fantastic the organization be professional reliable and well establish,sometimes some communication error occur just like everywhere else,the good job I have ever have,False,False,"{'work-life balance': {1: 0.046632346, 2: 0.09229436, 3: 0.20396407, 4: 0.3732668, 5: 0.2838424, 'label': 4}, 'flexibility': {1: 0.06417499, 2: 0.09639306, 3: 0.15683623, 4: 0.32365492, 5: 0.35894078, 'label': 5}, 'people': {1: 0.051070374, 2: 0.07814404, 3: 0.16188827, 4: 0.35929167, 5: 0.3496057, 'label': 4}, 'job role clarity': {1: 0.0536576, 2: 0.10561327, 3: 0.2220602, 4: 0.36522448, 5: 0.25344446, 'label': 4}}",{},"{'work-life balance': {1: 0.008370382, 2: 0.017513959, 3: 0.06508156, 4: 0.377385, 5: 0.5316491, 'label': 5}, 'flexibility': {1: 0.008101321, 2: 0.0132792955, 3: 0.04039123, 4: 0.2995196, 5: 0.6387086, 'label': 5}, 'people': {1: 0.0064062243, 2: 0.0103216, 3: 0.039126504, 4: 0.319037, 5: 0.6251087, 'label': 5}, 'job role clarity': {1: 0.01060208, 2: 0.021453235, 3: 0.0712378, 4: 0.37151393, 5: 0.5251929, 'label': 5}}",{}
16100,Barclays,2015-07-03, Senior Full Stack Developer,Former Employee,"London, England, England",4,4.0,3.0,,3.0,3.0,3.0,v,x,r,Used to be great work place,Good internal mobility. Good place to learn about exotics derivatives and structured products.,Politics. Decision making can be slow.,2015,good internal mobility good place to learn about exotic derivative and structured product,politic decision making can be slow,use to be great work place,False,False,"{'travel': {1: 0.0068081743, 2: 0.015017506, 3: 0.20017624, 4: 0.5630592, 5: 0.2149389, 'label': 4}}",{},"{'travel': {1: 0.004175434, 2: 0.009767581, 3: 0.17481728, 4: 0.59429437, 5: 0.2169453, 'label': 4}}",{}
80108,NHS,2020-05-10, Marketing,Current Employee,"London, England, England",5,5.0,5.0,,5.0,5.0,5.0,x,o,v,Amazing,Extremely rewarding and fulfilling job.,"Long hours, however this is justifiable.",2020,extremely rewarding and fulfilling job,long hour however this be justifiable,amazing,False,False,{},{},{},"{'work-life balance': {1: 0.23156571, 2: 0.31447098, 3: 0.31541434, 4: 0.11127521, 5: 0.027273767, 'label': 3}, 'stress & pressure': {1: 0.32281372, 2: 0.30246642, 3: 0.24780549, 4: 0.09667082, 5: 0.030243518, 'label': 1}}"
117541,University-of-Nottingham,2020-05-16, Assistant Professor,Former Employee,"Nottingham, England, England",4,2.0,1.0,,1.0,1.0,1.0,o,o,o,Not,No collegiality but some nice colleagues,Awful management constant request for extra long hours,2020,no collegiality but some nice colleague,awful management constant request for extra long hour,not,False,False,{},"{'management': {1: 0.8326246, 2: 0.13181932, 3: 0.02771917, 4: 0.0048636715, 5: 0.0029732457, 'label': 1}}","{'people': {1: 0.018256487, 2: 0.035718776, 3: 0.318048, 4: 0.4685389, 5: 0.15943779, 'label': 4}}","{'management': {1: 0.8284874, 2: 0.13546948, 3: 0.027965784, 4: 0.0049689263, 5: 0.0031084516, 'label': 1}, 'work-life balance': {1: 0.7626813, 2: 0.18716945, 3: 0.03952292, 4: 0.0070362873, 5: 0.0035901256, 'label': 1}, 'stress & pressure': {1: 0.80683535, 2: 0.15258564, 3: 0.029903878, 4: 0.0063615236, 5: 0.004313656, 'label': 1}}"
93369,Radisson-Hotel-Group,2020-12-11, Front Desk,Former Employee,"London, England, England",4,4.0,3.0,5.0,4.0,3.0,4.0,v,r,r,Satisfactory,The team is very good,The money is very little,2020,the team be very good,the money be very little,satisfactory,False,False,"{'teamwork & collaboration': {1: 0.011516031, 2: 0.020495238, 3: 0.19195093, 4: 0.50643426, 5: 0.26960352, 'label': 4}}",{},"{'teamwork & collaboration': {1: 0.0040647243, 2: 0.006649458, 3: 0.10418166, 4: 0.543394, 5: 0.3417101, 'label': 4}}",{}
102631,Sytner,2018-12-06, Sales Executive and Used Car Manager,"Former Employee, more than 1 year","Stoke-on-Trent, England, England",3,2.0,2.0,,3.0,4.0,1.0,x,o,x,They’re ok,They have good basic pay packages and benefits,Absolutely love a meeting. Will normally have a meeting to discuss starting a meeting,2018,they have good basic pay package and benefit,absolutely love a meeting will normally have a meeting to discuss start a meeting,they ’re ok,False,False,"{'pay': {1: 0.008045099, 2: 0.014802039, 3: 0.16092804, 4: 0.514767, 5: 0.30145782, 'label': 4}}",{},"{'pay': {1: 0.008632378, 2: 0.016552186, 3: 0.17286907, 4: 0.5166645, 5: 0.2852818, 'label': 4}, 'benefits': {1: 0.007932564, 2: 0.015603789, 3: 0.18154664, 4: 0.52801114, 5: 0.26690593, 'label': 4}}",{}
116338,University-of-Leeds,2020-06-17, Student,Current Employee,"London, England, England",5,4.0,3.0,,5.0,3.0,5.0,v,v,v,Fantastic,Amazing university. The support staff is great and there are many opportunities to develop oneself.,I have not come across any cons yet.,2020,amazing university the support staff be great and there be many opportunity to develop oneself,I have not come across any con yet,fantastic,False,False,"{'growth': {1: 0.0059552332, 2: 0.00752905, 3: 0.059935767, 4: 0.3559555, 5: 0.5706244, 'label': 5}, 'tools & resources': {1: 0.0073830127, 2: 0.010029999, 3: 0.07754114, 4: 0.38859913, 5: 0.5164467, 'label': 5}}",{},"{'tools & resources': {1: 0.0014016918, 2: 0.0016571643, 3: 0.017539283, 4: 0.23892304, 5: 0.7404788, 'label': 5}}",{}
42461,Foxtons,2016-01-01, Sales Negotiator,"Former Employee, less than 1 year","London, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,o,x,The worst job in my life which left me in debt,"None, they don't even deserve that one star","The extremely long working hours, you will have no life and you will lose all your friends, the training in head office is extremely boring and long. I worked with a bunch of really mean people in my office who bullied me and everyone on head office wanted me to quit because I fell sick which was just mean, they give you a company car yet the smallest scratch had left me in over £1,000 worth of debt because fleet have to get it repaired, biggest mistake of my life was working for this company. It will become your life. 8-8 6 days a week. Don't even bother applying if you want to have a life. They claim to have good career opportunities but when I said I wasn't coping well with the hours they said there's no place for me in the company.",2016,none they do not even deserve that one star,"the extremely long work hour you will have no life and you will lose all your friend the training in head office be extremely boring and long I work with a bunch of really mean people in my office who bully I and everyone on head office want I to quit because I fall sick which be just mean they give you a company car yet the small scratch have leave I in over £ 1,000 worth of debt because fleet have to get it repair big mistake of my life be work for this company it will become your life 8 8 6 day a week do not even bother apply if you want to have a life they claim to have good career opportunity but when I say I be not cope well with the hour they say there be no place for I in the company",the bad job in my life which leave I in debt,False,False,{},"{'growth': {1: 0.6665592, 2: 0.2604799, 3: 0.05394433, 4: 0.011813462, 5: 0.0072030732, 'label': 1}, 'people': {1: 0.7235333, 2: 0.22109497, 3: 0.04108659, 4: 0.0088295285, 5: 0.0054556043, 'label': 1}, 'training & onboarding': {1: 0.6915071, 2: 0.23623672, 3: 0.051890153, 4: 0.012461451, 5: 0.007904518, 'label': 1}}",{},"{'work-life balance': {1: 0.65582585, 2: 0.28151137, 3: 0.043418653, 4: 0.011108809, 5: 0.008135299, 'label': 1}, 'growth': {1: 0.70564246, 2: 0.24442708, 3: 0.03293207, 4: 0.009014088, 5: 0.007984276, 'label': 1}, 'people': {1: 0.7582509, 2: 0.20350952, 3: 0.025147084, 4: 0.0068279654, 5: 0.006264492, 'label': 1}, 'training & onboarding': {1: 0.7158383, 2: 0.2352938, 3: 0.03264718, 4: 0.008754151, 5: 0.007466526, 'label': 1}}"
108134,Tesco,2021-03-25, Cudtomer Service Representative,Current Employee,"London, England, England",2,1.0,5.0,5.0,1.0,1.0,1.0,x,r,x,Good place Nice,"Good pay 
Two shift patterns","Long hours
Half n hour unpaid break",2021,good pay two shift pattern,long hour half n hour unpaid break,good place nice,False,False,"{'pay': {1: 0.016391104, 2: 0.025203196, 3: 0.20088165, 4: 0.48653367, 5: 0.27099043, 'label': 4}, 'flexibility': {1: 0.017090095, 2: 0.028295757, 3: 0.20204654, 4: 0.49464685, 5: 0.2579208, 'label': 4}}",{},"{'pay': {1: 0.017868416, 2: 0.029306047, 3: 0.21770442, 4: 0.4806063, 5: 0.25451487, 'label': 4}, 'flexibility': {1: 0.0178523, 2: 0.030327804, 3: 0.21013293, 4: 0.49056113, 5: 0.25112584, 'label': 4}}","{'work-life balance': {1: 0.5792018, 2: 0.27534688, 3: 0.10350048, 4: 0.027181296, 5: 0.014769617, 'label': 1}, 'stress & pressure': {1: 0.6852064, 2: 0.21549632, 3: 0.06512088, 4: 0.019694779, 5: 0.014481693, 'label': 1}}"
75072,McKinsey-and-Company,2018-02-10, DTL,"Former Employee, more than 1 year","London, England, England",2,1.0,2.0,,2.0,3.0,2.0,x,v,x,DTL,"Good work ethic, resources to do the job","Lack of long term thinking
Opportunism
Low risk management",2018,good work ethic resource to do the job,lack of long term thinking opportunism low risk management,dtl,False,False,{},"{'management': {1: 0.5528971, 2: 0.33105823, 3: 0.09804346, 4: 0.013526316, 5: 0.004474782, 'label': 1}}","{'tools & resources': {1: 0.0055778124, 2: 0.01097211, 3: 0.17330806, 4: 0.5565597, 5: 0.2535824, 'label': 4}}","{'management': {1: 0.5528971, 2: 0.33105823, 3: 0.09804346, 4: 0.013526316, 5: 0.004474782, 'label': 1}}"
46983,HM-Prison-Service,2017-10-28, Administrative Assistant,"Current Employee, more than 3 years","Calne, England, England",3,4.0,3.0,,3.0,4.0,1.0,v,v,v,Administration,"I Like the hours, they are flexible and I like the actual job. Friendly team with fairly good working conditions.",Travelling distance is a bit too far. The pay isn't great and the management aren't very supportive leaving you in a constant state of uncertainty.,2017,I like the hour they be flexible and I like the actual job friendly team with fairly good working condition,travel distance be a bit too far the pay be not great and the management be not very supportive leave you in a constant state of uncertainty,administration,False,False,"{'flexibility': {1: 0.00652183, 2: 0.021567216, 3: 0.27129167, 4: 0.5688577, 5: 0.13176161, 'label': 4}, 'teamwork & collaboration': {1: 0.0047438946, 2: 0.014968959, 3: 0.24626276, 4: 0.59685963, 5: 0.13716471, 'label': 4}}","{'pay': {1: 0.18629315, 2: 0.5095271, 3: 0.27717558, 4: 0.024332395, 5: 0.00267179, 'label': 2}, 'management': {1: 0.1706882, 2: 0.5024607, 3: 0.29648525, 4: 0.027504783, 5: 0.0028611089, 'label': 2}, 'travel': {1: 0.17469057, 2: 0.5128494, 3: 0.28480843, 4: 0.024978966, 5: 0.0026726588, 'label': 2}, 'tools & resources': {1: 0.1745398, 2: 0.5112062, 3: 0.28228217, 4: 0.028785888, 5: 0.003185967, 'label': 2}, 'teamwork & collaboration': {1: 0.170571, 2: 0.5101415, 3: 0.28613448, 4: 0.029992761, 5: 0.0031602448, 'label': 2}}","{'work-life balance': {1: 0.0013318544, 2: 0.0042990325, 3: 0.14664894, 4: 0.6853325, 5: 0.16238771, 'label': 4}, 'flexibility': {1: 0.0015667047, 2: 0.0050768666, 3: 0.14311086, 4: 0.6769695, 5: 0.17327608, 'label': 4}, 'teamwork & collaboration': {1: 0.0013189428, 2: 0.003987959, 3: 0.13532601, 4: 0.6840501, 5: 0.17531706, 'label': 4}}","{'pay': {1: 0.092497826, 2: 0.5102261, 3: 0.3706336, 4: 0.024978388, 5: 0.0016642027, 'label': 2}, 'management': {1: 0.08986001, 2: 0.4984967, 3: 0.38098118, 4: 0.028747637, 5: 0.0019144763, 'label': 2}, 'travel': {1: 0.08626411, 2: 0.505904, 3: 0.38074854, 4: 0.02542955, 5: 0.0016537651, 'label': 2}, 'tools & resources': {1: 0.0849703, 2: 0.5125525, 3: 0.37372208, 4: 0.026980435, 5: 0.001774708, 'label': 2}, 'teamwork & collaboration': {1: 0.081125654, 2: 0.5173447, 3: 0.37308404, 4: 0.026792409, 5: 0.0016531671, 'label': 2}}"
66140,Lidl,2015-08-15, Sales Assistant,"Current Employee, more than 1 year","Bournemouth, England, England",2,3.0,2.0,,1.0,2.0,1.0,x,r,x,A lot of work for little money and no respect.,"The 10% staff discount (currently UK only)  is good, working with the public, and you get to work with some lovely people.","Lack of respect from management who will lie directly to your face, long hours without a break or just a short break, poor pay, minimal staff level makes it harder for everyone.",2015,the 10 staff discount currently uk only be good work with the public and you get to work with some lovely people,lack of respect from management who will lie directly to your face long hour without a break or just a short break poor pay minimal staff level make it hard for everyone,a lot of work for little money and no respect,False,False,"{'people': {1: 0.2456356, 2: 0.23668393, 3: 0.29109448, 4: 0.15776356, 5: 0.06882245, 'label': 3}}","{'pay': {1: 0.5403097, 2: 0.36897233, 3: 0.079698876, 4: 0.008355159, 5: 0.0026639027, 'label': 1}, 'management': {1: 0.5419691, 2: 0.3649888, 3: 0.08111855, 4: 0.009048324, 5: 0.0028752552, 'label': 1}}","{'people': {1: 0.010528607, 2: 0.024257302, 3: 0.22273275, 4: 0.5480948, 5: 0.19438654, 'label': 4}}","{'pay': {1: 0.52125, 2: 0.40137154, 3: 0.06995653, 4: 0.0057717697, 5: 0.0016501133, 'label': 1}, 'management': {1: 0.5047126, 2: 0.41360041, 3: 0.073607214, 4: 0.006314011, 5: 0.0017658365, 'label': 1}, 'work-life balance': {1: 0.40591583, 2: 0.48036027, 3: 0.10193895, 4: 0.009379237, 5: 0.0024056272, 'label': 2}, 'stress & pressure': {1: 0.4949245, 2: 0.42254433, 3: 0.071893595, 4: 0.007961153, 5: 0.0026764793, 'label': 1}}"
1108,ASDA,2015-10-16, Seasonal Checkout Operator,Current Employee,"Southport, England, England",4,5.0,4.0,,2.0,2.0,5.0,v,v,r,Seasonal checkout operator,"Asda are a great company in that you can fit your hours around your work/life balance and other commitments. Ten percent discount as a colleague, not to be sniffed at and the local employees are great.",Inept management at checkout level with a lack of appreciation for those at the customer interface. The senior managers are great but communication is difficult. The immediate line managers have little empathy with the needs of their staff,2015,asda be a great company in that you can fit your hour around your work life balance and other commitment ten percent discount as a colleague not to be sniff at and the local employee be great,inept management at checkout level with a lack of appreciation for those at the customer interface the senior manager be great but communication be difficult the immediate line manager have little empathy with the need of their staff,seasonal checkout operator,False,False,"{'work-life balance': {1: 0.033126567, 2: 0.04529451, 3: 0.17742461, 4: 0.4359787, 5: 0.30817562, 'label': 4}}","{'management': {1: 0.25378218, 2: 0.51505315, 3: 0.21197452, 4: 0.017043399, 5: 0.0021467516, 'label': 2}}","{'work-life balance': {1: 0.0052964934, 2: 0.008774022, 3: 0.062205207, 4: 0.41879973, 5: 0.50492454, 'label': 5}}","{'management': {1: 0.26118907, 2: 0.5642355, 3: 0.163556, 4: 0.009748651, 5: 0.0012707629, 'label': 2}}"
3896,Abcam,2016-06-20, Anonymous Employee,Current Employee,"Cambridge, East of England, England, England",2,,,,,,,o,o,o,"Underpaid, undervalued","Company culture is awesome, people are super friendly.",You are going to be underpaid. They will promise you that it will get better but it won't.,2016,company culture be awesome people be super friendly,you be go to be underpaid they will promise you that it will get well but it will not,underpaid undervalued,False,False,"{'culture': {1: 0.014521728, 2: 0.016900674, 3: 0.12297411, 4: 0.39283693, 5: 0.45276657, 'label': 5}, 'people': {1: 0.0127146365, 2: 0.014715948, 3: 0.11330895, 4: 0.38829064, 5: 0.47096986, 'label': 5}}",{},"{'culture': {1: 0.0036360899, 2: 0.00397915, 3: 0.03846175, 4: 0.28694752, 5: 0.6669755, 'label': 5}, 'people': {1: 0.003541147, 2: 0.0037778919, 3: 0.035173163, 4: 0.2711609, 5: 0.6863469, 'label': 5}}",{}
74645,McDonald-s,2021-04-06, Assistant Manager,"Former Employee, more than 8 years","Liverpool, England, England",4,1.0,3.0,4.0,5.0,3.0,4.0,v,r,r,Good first job,Good job to start with and gives you great work ethic. Great training and progression schemes. I got promoted through the ranks to a salaried position.,The pay isn’t amazing and it’s a lot of hard work for pretty minimum pay. I worked there for 8 years and never realised how overworked you are until I went to a new job and get paid a lot more for less stress. I thought it was just the standard for all jobs as I worked there since I was 17 but I was very wrong.,2021,good job to start with and give you great work ethic great training and progression scheme I get promote through the rank to a salaried position,the pay be n’t amazing and it ’ a lot of hard work for pretty minimum pay I work there for 8 year and never realise how overworked you be until I go to a new job and get pay a lot more for less stress I think it be just the standard for all job as I work there since I be 17 but I be very wrong,good first job,False,False,"{'growth': {1: 0.00678721, 2: 0.009497336, 3: 0.10335587, 4: 0.4960846, 5: 0.38427493, 'label': 4}, 'training & onboarding': {1: 0.007461276, 2: 0.010040608, 3: 0.099813156, 4: 0.4860786, 5: 0.39660642, 'label': 4}}","{'pay': {1: 0.3522098, 2: 0.4248997, 3: 0.18192269, 4: 0.03178574, 5: 0.009182132, 'label': 2}, 'stress & pressure': {1: 0.3465918, 2: 0.43276116, 3: 0.17932692, 4: 0.031976935, 5: 0.009343223, 'label': 2}}","{'growth': {1: 0.0029474027, 2: 0.004425681, 3: 0.06303195, 4: 0.50859433, 5: 0.42100072, 'label': 4}, 'training & onboarding': {1: 0.0033174239, 2: 0.0049920306, 3: 0.06624288, 4: 0.51199114, 5: 0.41345656, 'label': 4}}","{'pay': {1: 0.30637017, 2: 0.53231895, 3: 0.14630654, 4: 0.012512735, 5: 0.0024916471, 'label': 2}, 'stress & pressure': {1: 0.31165513, 2: 0.53366244, 3: 0.13857138, 4: 0.013205492, 5: 0.002905587, 'label': 2}}"
