,firm,pros,cons,pros_clean_min,pros_clean_lemma_only,pros_clean_with_stopwords,pros_clean_with_symspell,cons_clean_min,cons_clean_lemma_only,cons_clean_with_stopwords,cons_clean_with_symspell,min_pro_aspect_sentiments,lemma_pro_aspect_sentiments,Stopword_pro_aspect_sentiments,Symspell_pro_aspect_sentiments,min_con_aspect_sentiments,lemma_con_aspect_sentiments,Stopword_con_aspect_sentiments,Symspell_con_aspect_sentiments
24363,Co op,"Four weekly pay 
None other than that. None whatsoever. I’m only writing this as they won’t let me continue others. Literally no more pros.",No compassion if you end up on the sick and wish to return on lower hours due to the illness being chronic. Very obstructive in allowing me to return to a different role of different hours without a fully competency based interview. This is their idea of reasonable adjustments. I was held back from returning for months for them to tell me this was my only option. Treated terribly.,Four weekly pay  None other than that. None whatsoever. Im only writing this as they wont let me continue others. Literally no more pros.,four weekly pay none other than that none whatsoever I ’m only write this as they will not let I continue other literally no more pro,weekly pay whatsoever write will let continue literally pro,weekly pay whatsoever write let continue literally pro,No compassion if you end up on the sick and wish to return on lower hours due to the illness being chronic. Very obstructive in allowing me to return to a different role of different hours without a fully competency based interview. This is their idea of reasonable adjustments. I was held back from returning for months for them to tell me this was my only option. Treated terribly.,no compassion if you end up on the sick and wish to return on low hour due to the illness be chronic very obstructive in allow I to return to a different role of different hour without a fully competency base interview this be their idea of reasonable adjustment I be hold back from return for month for they to tell I this be my only option treat terribly,compassion end sick wish return low hour illness chronic obstructive allow return different role different hour fully competency base interview idea reasonable adjustment hold return month tell option treat terribly,compassion end sick wish return lower hour illness chronic obstructive allow return different role different hour fully competency base interview idea reasonable adjustment hold return month tell option treat terribly,"{'pay': {1: 0.68609524, 2: 0.18615097, 3: 0.07286384, 4: 0.029268865, 5: 0.025621008, 'label': 1}}","{'pay': {1: 0.5921853, 2: 0.20915705, 3: 0.11928784, 4: 0.047884673, 5: 0.03148511, 'label': 1}}","{'pay': {1: 0.27599612, 2: 0.16347368, 3: 0.19194354, 4: 0.192795, 5: 0.17579168, 'label': 1}}","{'pay': {1: 0.3473409, 2: 0.16253266, 3: 0.17073727, 4: 0.16063689, 5: 0.15875225, 'label': 1}}","{'hr & recruitment': {1: 0.74632484, 2: 0.23170932, 3: 0.018218463, 4: 0.0023490768, 5: 0.0013984138, 'label': 1}, 'job role clarity': {1: 0.70525676, 2: 0.26574105, 3: 0.024589764, 4: 0.002945226, 5: 0.0014671551, 'label': 1}, 'work-life balance': {1: 0.7121656, 2: 0.2627662, 3: 0.021127898, 4: 0.0025274828, 5: 0.0014127886, 'label': 1}}","{'hr & recruitment': {1: 0.68543386, 2: 0.25849158, 3: 0.045540463, 4: 0.007257397, 5: 0.0032766226, 'label': 1}, 'job role clarity': {1: 0.63574386, 2: 0.293336, 3: 0.058617957, 4: 0.008804717, 5: 0.003497395, 'label': 1}}","{'hr & recruitment': {1: 0.77204496, 2: 0.18812856, 3: 0.03289878, 4: 0.004735005, 5: 0.0021926067, 'label': 1}, 'job role clarity': {1: 0.75280213, 2: 0.20111729, 3: 0.038405467, 4: 0.0053938325, 5: 0.0022812902, 'label': 1}}","{'hr & recruitment': {1: 0.7673367, 2: 0.1926328, 3: 0.033345494, 4: 0.0046167355, 5: 0.0020682034, 'label': 1}, 'job role clarity': {1: 0.7481559, 2: 0.20551047, 3: 0.038865283, 4: 0.005294625, 5: 0.0021737688, 'label': 1}}"
69585,RSM,It has a great graduate program.,There are not enough advisory opportunities.,It has a great graduate program.,it have a great graduate program,great graduate program,great graduate program,There are not enough advisory opportunities.,there be not enough advisory opportunity,advisory opportunity,advisory opportunity,{},{},{},{},"{'growth & learning': {1: 0.3714029, 2: 0.38507277, 3: 0.19829404, 4: 0.036093697, 5: 0.0091365725, 'label': 2}}","{'growth & learning': {1: 0.36376432, 2: 0.34511063, 3: 0.2171477, 4: 0.05724487, 5: 0.016732447, 'label': 1}}","{'growth & learning': {1: 0.18751563, 2: 0.21142602, 3: 0.29935044, 4: 0.20366134, 5: 0.09804657, 'label': 3}}","{'growth & learning': {1: 0.18751563, 2: 0.21142602, 3: 0.29935044, 4: 0.20366134, 5: 0.09804657, 'label': 3}}"
66901,Priory Group,Training offered is over and above,They treat their staff horrendously and lie to them,Training offered is over and above,training offer be over and above,training offer,train offer,They treat their staff horrendously and lie to them,they treat their staff horrendously and lie to they,treat staff horrendously lie,treat staff horrendously lie,"{'hr & recruitment': {1: 0.10792851, 2: 0.14429863, 3: 0.3331917, 4: 0.28632915, 5: 0.128252, 'label': 3}}","{'hr & recruitment': {1: 0.09789928, 2: 0.113844804, 3: 0.2790945, 4: 0.33523485, 5: 0.17392659, 'label': 4}}","{'hr & recruitment': {1: 0.011052741, 2: 0.015887814, 3: 0.16823298, 4: 0.49400377, 5: 0.31082267, 'label': 4}}",{},"{'hr & recruitment': {1: 0.6330438, 2: 0.24264538, 3: 0.08251585, 4: 0.02625289, 5: 0.015542079, 'label': 1}}","{'hr & recruitment': {1: 0.61016434, 2: 0.25841787, 3: 0.09001805, 4: 0.02698362, 5: 0.014416117, 'label': 1}}","{'hr & recruitment': {1: 0.6544902, 2: 0.22432654, 3: 0.08083351, 4: 0.025097176, 5: 0.01525257, 'label': 1}}","{'hr & recruitment': {1: 0.6544902, 2: 0.22432654, 3: 0.08083351, 4: 0.025097176, 5: 0.01525257, 'label': 1}}"
28237,Debenhams,A lot of hours if you need the money over Christmas.,"- Poor Management.
- No Staff discount.
- Understaffed.",A lot of hours if you need the money over Christmas.,a lot of hour if you need the money over christmas,lot hour need money christmas,lot hour need money christmas,- Poor Management. - No Staff discount. - Understaffed.,poor management no staff discount understaffed,poor management staff discount understaffed,poor management staff discount understaffe,"{'hr & recruitment': {1: 0.022292145, 2: 0.035112884, 3: 0.20960361, 4: 0.4603503, 5: 0.2726411, 'label': 4}, 'pay': {1: 0.042833377, 2: 0.059615072, 3: 0.23222347, 4: 0.4098852, 5: 0.2554429, 'label': 4}, 'work-life balance': {1: 0.017233688, 2: 0.036742277, 3: 0.27036387, 4: 0.47130713, 5: 0.20435297, 'label': 4}}","{'hr & recruitment': {1: 0.042760916, 2: 0.053684894, 3: 0.22328854, 4: 0.41902164, 5: 0.26124403, 'label': 4}, 'pay': {1: 0.07977946, 2: 0.08637033, 3: 0.24261497, 4: 0.35952702, 5: 0.23170823, 'label': 4}, 'work-life balance': {1: 0.03208974, 2: 0.05329444, 3: 0.2774713, 4: 0.43407577, 5: 0.20306873, 'label': 4}}","{'hr & recruitment': {1: 0.029625226, 2: 0.028536761, 3: 0.16910003, 4: 0.40965682, 5: 0.36308125, 'label': 4}, 'pay': {1: 0.052526657, 2: 0.04542502, 3: 0.19744587, 4: 0.38406947, 5: 0.32053304, 'label': 4}, 'work-life balance': {1: 0.024214879, 2: 0.030276617, 3: 0.2190583, 4: 0.44105047, 5: 0.28539976, 'label': 4}}","{'hr & recruitment': {1: 0.029625226, 2: 0.028536761, 3: 0.16910003, 4: 0.40965682, 5: 0.36308125, 'label': 4}, 'pay': {1: 0.052526657, 2: 0.04542502, 3: 0.19744587, 4: 0.38406947, 5: 0.32053304, 'label': 4}, 'work-life balance': {1: 0.024214879, 2: 0.030276617, 3: 0.2190583, 4: 0.44105047, 5: 0.28539976, 'label': 4}}","{'perks & benefits': {1: 0.6844931, 2: 0.27515328, 3: 0.03581981, 4: 0.003293587, 5: 0.001240223, 'label': 1}, 'hr & recruitment': {1: 0.655728, 2: 0.29525805, 3: 0.04341197, 4: 0.004159497, 5: 0.0014425011, 'label': 1}, 'management': {1: 0.7084098, 2: 0.25054502, 3: 0.03647778, 4: 0.0033205773, 5: 0.0012469003, 'label': 1}}","{'perks & benefits': {1: 0.72895944, 2: 0.22630699, 3: 0.03947217, 4: 0.0038061729, 5: 0.0014552412, 'label': 1}, 'hr & recruitment': {1: 0.7049957, 2: 0.24407408, 3: 0.04511649, 4: 0.004254442, 5: 0.0015593419, 'label': 1}, 'management': {1: 0.7456699, 2: 0.21048743, 3: 0.038904533, 4: 0.003528589, 5: 0.0014095461, 'label': 1}}","{'perks & benefits': {1: 0.63815975, 2: 0.2893708, 3: 0.06311666, 4: 0.0070003797, 5: 0.0023524545, 'label': 1}, 'hr & recruitment': {1: 0.6258304, 2: 0.29792446, 3: 0.06679017, 4: 0.007153208, 5: 0.0023017502, 'label': 1}, 'management': {1: 0.6597645, 2: 0.27476147, 3: 0.058062848, 4: 0.0055178194, 5: 0.0018932319, 'label': 1}}","{'perks & benefits': {1: 0.6038801, 2: 0.30064365, 3: 0.08138347, 4: 0.010647581, 5: 0.0034452311, 'label': 1}, 'hr & recruitment': {1: 0.5911254, 2: 0.30769122, 3: 0.0864886, 4: 0.011216068, 5: 0.0034786812, 'label': 1}, 'management': {1: 0.6297967, 2: 0.2854358, 3: 0.07397483, 4: 0.008159732, 5: 0.002632973, 'label': 1}}"
74828,Serco Group,"The people of the 'shop floor' are the workers, great commitment to the client base. Good pockets of teams doing a great job","No senior management/ leadership, hopeless. Lots of 'jobs for the boys' in the director layer upward. Its all about who you know....
Lots of people have been in Serco a long time and are very comfortable - i doubt they will ever move. Most of there appear to be in the senor management layer. Lots of comfortable closed management groups. There is an undercurrent of questionable decision making, i am not convinced that all the decisions are for the benefit of the company and not for personal gain. There are still questions to be answered - corruption within Serco exists.","The people of the 'shop floor' are the workers, great commitment to the client base. Good pockets of teams doing a great job",the people of the shop floor be the worker great commitment to the client base good pocket of team do a great job,people shop floor worker great commitment client base good pocket team great job,people shop floor worker great commitment client base good pocket team great job,"No senior management/ leadership, hopeless. Lots of 'jobs for the boys' in the director layer upward. Its all about who you know.... Lots of people have been in Serco a long time and are very comfortable - i doubt they will ever move. Most of there appear to be in the senor management layer. Lots of comfortable closed management groups. There is an undercurrent of questionable decision making, i am not convinced that all the decisions are for the benefit of the company and not for personal gain. There are still questions to be answered - corruption within Serco exists.",no senior management/ leadership hopeless lot of job for the boy in the director layer upward its all about who you know lot of people have be in serco a long time and be very comfortable I doubt they will ever move most of there appear to be in the senor management layer lot of comfortable closed management group there be an undercurrent of questionable decision making I be not convinced that all the decision be for the benefit of the company and not for personal gain there be still question to be answer corruption within serco exist,senior management/ leadership hopeless lot job boy director layer upward know lot people serco long time comfortable doubt appear senor management layer lot comfortable closed management group undercurrent questionable decision making convinced decision benefit company personal gain question answer corruption serco exist,senior management/ leadership hopeless lot job boy director layer upward know lot people serco long time comfortable doubt appear senor management layer lot comfortable close management group undercurrent questionable decision make convince decision benefit company personal gain question answer corruption serco exist,"{'people': {1: 0.0059833876, 2: 0.010917443, 3: 0.12932523, 4: 0.52920043, 5: 0.32457352, 'label': 4}, 'teamwork & collaboration': {1: 0.0051490306, 2: 0.0100974, 3: 0.13071229, 4: 0.5524575, 5: 0.3015837, 'label': 4}}","{'people': {1: 0.0081743905, 2: 0.012762501, 3: 0.12913664, 4: 0.49050575, 5: 0.3594207, 'label': 4}, 'teamwork & collaboration': {1: 0.0070014694, 2: 0.011614995, 3: 0.1308658, 4: 0.5125605, 5: 0.3379572, 'label': 4}}","{'people': {1: 0.0050646164, 2: 0.006396724, 3: 0.0761128, 4: 0.43957925, 5: 0.47284666, 'label': 5}, 'teamwork & collaboration': {1: 0.004616903, 2: 0.0061877193, 3: 0.07829921, 4: 0.46654606, 5: 0.44435015, 'label': 4}}","{'people': {1: 0.0050646164, 2: 0.006396724, 3: 0.0761128, 4: 0.43957925, 5: 0.47284666, 'label': 5}, 'teamwork & collaboration': {1: 0.004616903, 2: 0.0061877193, 3: 0.07829921, 4: 0.46654606, 5: 0.44435015, 'label': 4}}","{'perks & benefits': {1: 0.538703, 2: 0.39254436, 3: 0.05697028, 4: 0.008826227, 5: 0.002956066, 'label': 1}, 'management': {1: 0.56049824, 2: 0.3753083, 3: 0.053545505, 4: 0.007919443, 5: 0.0027285905, 'label': 1}, 'people': {1: 0.5626391, 2: 0.37544632, 3: 0.051249675, 4: 0.007883672, 5: 0.0027811935, 'label': 1}, 'teamwork & collaboration': {1: 0.52139884, 2: 0.4064865, 3: 0.06051588, 4: 0.00883121, 5: 0.0027675931, 'label': 1}}","{'perks & benefits': {1: 0.59987724, 2: 0.310316, 3: 0.07324129, 4: 0.0120235365, 5: 0.0045419503, 'label': 1}, 'management': {1: 0.5972884, 2: 0.31176674, 3: 0.07575577, 4: 0.011159758, 5: 0.004029252, 'label': 1}, 'people': {1: 0.60945785, 2: 0.30552655, 3: 0.07060434, 4: 0.010531938, 5: 0.00387934, 'label': 1}, 'teamwork & collaboration': {1: 0.57359976, 2: 0.32597804, 3: 0.08220021, 4: 0.013474364, 5: 0.0047475738, 'label': 1}}","{'perks & benefits': {1: 0.664984, 2: 0.23461008, 3: 0.07385989, 4: 0.017403964, 5: 0.009142082, 'label': 1}, 'management': {1: 0.6609717, 2: 0.23913415, 3: 0.07580387, 4: 0.016015086, 5: 0.008075104, 'label': 1}, 'people': {1: 0.6775145, 2: 0.2282293, 3: 0.07068329, 4: 0.015544194, 5: 0.008028683, 'label': 1}, 'teamwork & collaboration': {1: 0.6353564, 2: 0.24918091, 3: 0.08532409, 4: 0.020303663, 5: 0.009834879, 'label': 1}}","{'perks & benefits': {1: 0.6379964, 2: 0.24359694, 3: 0.085111946, 4: 0.021789588, 5: 0.011505146, 'label': 1}, 'management': {1: 0.6362216, 2: 0.24692512, 3: 0.08661057, 4: 0.019996082, 5: 0.010246667, 'label': 1}, 'people': {1: 0.6593376, 2: 0.23288737, 3: 0.079008766, 4: 0.018841319, 5: 0.009924943, 'label': 1}, 'teamwork & collaboration': {1: 0.6076578, 2: 0.25676957, 3: 0.09758653, 4: 0.025483647, 5: 0.012502531, 'label': 1}}"
34495,EY,"-great atmosphere, location and you could tell that the analysts really enjoyed what they were doing
-good insight into what EY's roles are","-not very interactive, a lot of talking","-great atmosphere, location and you could tell that the analysts really enjoyed what they were doing -good insight into what EY's roles are",-great atmosphere location and you could tell that the analyst really enjoy what they be do -good insight into what ey 's role be,-great atmosphere location tell analyst enjoy -good insight ey role,-great atmosphere location tell analyst enjoy -good insight role,"-not very interactive, a lot of talking",-not very interactive a lot of talk,-not interactive lot talk,-not interactive lot talk,"{'culture': {1: 0.008438337, 2: 0.020982185, 3: 0.2001402, 4: 0.5571021, 5: 0.21333724, 'label': 4}, 'job role clarity': {1: 0.0071102893, 2: 0.020133862, 3: 0.21846691, 4: 0.57116795, 5: 0.18312103, 'label': 4}, 'office & location': {1: 0.0061896318, 2: 0.015734581, 3: 0.18307732, 4: 0.5884672, 5: 0.2065313, 'label': 4}}","{'culture': {1: 0.009301658, 2: 0.02251491, 3: 0.21467389, 4: 0.5543738, 5: 0.19913575, 'label': 4}, 'job role clarity': {1: 0.00817686, 2: 0.02319185, 3: 0.23946011, 4: 0.560178, 5: 0.16899316, 'label': 4}, 'office & location': {1: 0.0074582663, 2: 0.018136827, 3: 0.19392937, 4: 0.5713799, 5: 0.20909563, 'label': 4}}","{'culture': {1: 0.00808461, 2: 0.017006977, 3: 0.189998, 4: 0.5454828, 5: 0.23942758, 'label': 4}, 'job role clarity': {1: 0.008316482, 2: 0.020902127, 3: 0.24179976, 4: 0.54872906, 5: 0.18025261, 'label': 4}, 'office & location': {1: 0.007054826, 2: 0.015201871, 3: 0.18667057, 4: 0.55946636, 5: 0.23160641, 'label': 4}}","{'culture': {1: 0.006375778, 2: 0.013217457, 3: 0.17846404, 4: 0.563467, 5: 0.23847571, 'label': 4}, 'job role clarity': {1: 0.0073721204, 2: 0.01840611, 3: 0.23845002, 4: 0.55942047, 5: 0.17635128, 'label': 4}, 'office & location': {1: 0.005830752, 2: 0.012220446, 3: 0.1759502, 4: 0.57305175, 5: 0.23294681, 'label': 4}}",{},{},{},{}
19741,Burberry,"Based at Heathrow so pretty easy sale environment - hence everyone was pretty laid back.
They take good care of staff - fruit and nuts program. Yay
Employee discount - great stuff","as with any sales role where commission is involved, people get pretty uptight - but that just depends on the team you work with",Based at Heathrow so pretty easy sale environment - hence everyone was pretty laid back. They take good care of staff - fruit and nuts program. Yay Employee discount - great stuff,base at heathrow so pretty easy sale environment hence everyone be pretty lay back they take good care of staff fruit and nut program yay employee discount great stuff,base heathrow pretty easy sale environment pretty lay good care staff fruit nut program yay employee discount great stuff,base heathrow pretty easy sale environment pretty lay good care staff fruit nut program yay employee discount great stuff,"as with any sales role where commission is involved, people get pretty uptight - but that just depends on the team you work with",as with any sale role where commission be involve people get pretty uptight but that just depend on the team you work with,sale role commission involve people pretty uptight depend team work,sale role commission involve people pretty uptight depend team work,"{'perks & benefits': {1: 0.018503508, 2: 0.040997133, 3: 0.1928842, 4: 0.49818024, 5: 0.24943496, 'label': 4}, 'culture': {1: 0.03150929, 2: 0.06943193, 3: 0.23803566, 4: 0.4499715, 5: 0.21105155, 'label': 4}, 'hr & recruitment': {1: 0.023521787, 2: 0.051566824, 3: 0.20416929, 4: 0.47587442, 5: 0.2448676, 'label': 4}}","{'perks & benefits': {1: 0.00948483, 2: 0.016586442, 3: 0.12899844, 4: 0.496254, 5: 0.3486762, 'label': 4}, 'culture': {1: 0.01599292, 2: 0.028049571, 3: 0.16007298, 4: 0.4664895, 5: 0.32939503, 'label': 4}, 'hr & recruitment': {1: 0.015880367, 2: 0.027307453, 3: 0.15713353, 4: 0.47209972, 5: 0.32757887, 'label': 4}}","{'perks & benefits': {1: 0.006708415, 2: 0.01090323, 3: 0.10312112, 4: 0.48740157, 5: 0.39186564, 'label': 4}, 'culture': {1: 0.009079888, 2: 0.016433826, 3: 0.13240923, 4: 0.4902076, 5: 0.35186943, 'label': 4}, 'hr & recruitment': {1: 0.009535882, 2: 0.015673738, 3: 0.122640975, 4: 0.47402644, 5: 0.37812296, 'label': 4}}","{'perks & benefits': {1: 0.006708415, 2: 0.01090323, 3: 0.10312112, 4: 0.48740157, 5: 0.39186564, 'label': 4}, 'culture': {1: 0.009079888, 2: 0.016433826, 3: 0.13240923, 4: 0.4902076, 5: 0.35186943, 'label': 4}, 'hr & recruitment': {1: 0.009535882, 2: 0.015673738, 3: 0.122640975, 4: 0.47402644, 5: 0.37812296, 'label': 4}}","{'job role clarity': {1: 0.19229405, 2: 0.35379177, 3: 0.35525045, 4: 0.08342204, 5: 0.015241649, 'label': 3}, 'pay': {1: 0.30276585, 2: 0.36130372, 3: 0.2649862, 4: 0.05753896, 5: 0.013405363, 'label': 2}, 'people': {1: 0.28976434, 2: 0.3813658, 3: 0.2625463, 4: 0.05424046, 5: 0.012083037, 'label': 2}, 'teamwork & collaboration': {1: 0.23289512, 2: 0.37303048, 3: 0.30180654, 4: 0.07686451, 5: 0.015403364, 'label': 2}}","{'job role clarity': {1: 0.2439754, 2: 0.35197008, 3: 0.30928847, 4: 0.077697486, 5: 0.01706859, 'label': 2}, 'pay': {1: 0.3755837, 2: 0.3448476, 3: 0.215812, 4: 0.04976162, 5: 0.013995089, 'label': 1}, 'people': {1: 0.36098927, 2: 0.36157644, 3: 0.21776946, 4: 0.047115073, 5: 0.012549811, 'label': 2}, 'teamwork & collaboration': {1: 0.30853668, 2: 0.36371356, 3: 0.24647807, 4: 0.0651605, 5: 0.01611117, 'label': 2}}","{'job role clarity': {1: 0.35512206, 2: 0.31492943, 3: 0.23798908, 4: 0.07103631, 5: 0.02092317, 'label': 1}, 'pay': {1: 0.4457855, 2: 0.29766384, 3: 0.18132052, 4: 0.05599882, 5: 0.019231398, 'label': 1}, 'people': {1: 0.42487893, 2: 0.31323653, 3: 0.18743227, 4: 0.05604934, 5: 0.018402863, 'label': 1}, 'teamwork & collaboration': {1: 0.4247325, 2: 0.31201658, 3: 0.18433435, 4: 0.05976754, 5: 0.019149028, 'label': 1}}","{'job role clarity': {1: 0.35512206, 2: 0.31492943, 3: 0.23798908, 4: 0.07103631, 5: 0.02092317, 'label': 1}, 'pay': {1: 0.4457855, 2: 0.29766384, 3: 0.18132052, 4: 0.05599882, 5: 0.019231398, 'label': 1}, 'people': {1: 0.42487893, 2: 0.31323653, 3: 0.18743227, 4: 0.05604934, 5: 0.018402863, 'label': 1}, 'teamwork & collaboration': {1: 0.4247325, 2: 0.31201658, 3: 0.18433435, 4: 0.05976754, 5: 0.019149028, 'label': 1}}"
62736,NHS England,Great colleagues and training available.,Patients being disrespectful and not realising that the demand and delay are caused by unnecessary visits.,Great colleagues and training available.,great colleague and training available,great colleague training available,great colleague train available,Patients being disrespectful and not realising that the demand and delay are caused by unnecessary visits.,patient be disrespectful and not realise that the demand and delay be cause by unnecessary visit,patient disrespectful realise demand delay cause unnecessary visit,patient disrespectful realise demand delay cause unnecessary visit,"{'hr & recruitment': {1: 0.002503188, 2: 0.0032178452, 3: 0.053871874, 4: 0.42285115, 5: 0.51755595, 'label': 5}, 'people': {1: 0.0022551126, 2: 0.0029149612, 3: 0.050055865, 4: 0.4075191, 5: 0.5372549, 'label': 5}}","{'hr & recruitment': {1: 0.0032704028, 2: 0.0038839607, 3: 0.05665386, 4: 0.4219496, 5: 0.51424223, 'label': 5}}","{'hr & recruitment': {1: 0.0038429948, 2: 0.004972209, 3: 0.07225387, 4: 0.45633844, 5: 0.4625925, 'label': 5}}",{},{},{},{},{}
36595,Facebook,"You get to work with the smartest people, the best tools and the most amount of data whilst influencing billions of people. Also the perks like free food and travel are pretty good!","It's so fast pace that it's always intense, the documentation gets left behind and there's a focus on getting things done reasonably well but not always perfectly","You get to work with the smartest people, the best tools and the most amount of data whilst influencing billions of people. Also the perks like free food and travel are pretty good!",you get to work with the smart people the good tool and the most amount of datum whilst influence billion of people also the perk like free food and travel be pretty good,work smart people good tool datum whilst influence billion people perk like free food travel pretty good,work smart people well tool datum whilst influence billion people perk like free food travel pretty good,"It's so fast pace that it's always intense, the documentation gets left behind and there's a focus on getting things done reasonably well but not always perfectly",it be so fast pace that it be always intense the documentation get leave behind and there be a focus on get thing do reasonably well but not always perfectly,fast pace intense documentation get leave focus get thing reasonably perfectly,fast pace intense documentation get leave focus get thing reasonably perfectly,"{'perks & benefits': {1: 0.0031084148, 2: 0.0065893126, 3: 0.082296215, 4: 0.53070265, 5: 0.3773034, 'label': 4}, 'people': {1: 0.0041321805, 2: 0.008591371, 3: 0.083558016, 4: 0.5077577, 5: 0.39596075, 'label': 4}, 'tools & resources': {1: 0.0037229438, 2: 0.008723143, 3: 0.09580236, 4: 0.5368174, 5: 0.3549342, 'label': 4}}","{'perks & benefits': {1: 0.0089464085, 2: 0.019783972, 3: 0.1873106, 4: 0.530896, 5: 0.253063, 'label': 4}, 'people': {1: 0.010085563, 2: 0.023606027, 3: 0.20198047, 4: 0.52603674, 5: 0.2382912, 'label': 4}}","{'perks & benefits': {1: 0.0068734977, 2: 0.016543848, 3: 0.21889643, 4: 0.57040805, 5: 0.18727821, 'label': 4}, 'people': {1: 0.008119239, 2: 0.020123, 3: 0.2420512, 4: 0.5514052, 5: 0.17830138, 'label': 4}}","{'perks & benefits': {1: 0.0067887637, 2: 0.015944006, 3: 0.21107379, 4: 0.5647552, 5: 0.20143823, 'label': 4}, 'people': {1: 0.007500873, 2: 0.018491678, 3: 0.2278115, 4: 0.5518363, 5: 0.1943596, 'label': 4}}","{'stress & pressure': {1: 0.115335956, 2: 0.42857635, 3: 0.35570782, 4: 0.08387857, 5: 0.016501272, 'label': 2}}","{'stress & pressure': {1: 0.118559696, 2: 0.43366197, 3: 0.37852508, 4: 0.061998468, 5: 0.0072548706, 'label': 2}}","{'stress & pressure': {1: 0.28171262, 2: 0.20374903, 3: 0.1318302, 4: 0.17469712, 5: 0.20801102, 'label': 1}}","{'stress & pressure': {1: 0.28171262, 2: 0.20374903, 3: 0.1318302, 4: 0.17469712, 5: 0.20801102, 'label': 1}}"
20592,Cambridge Assessment,"Friendly professional staff, fantastic office, good location",most roles are fixed term,"Friendly professional staff, fantastic office, good location",friendly professional staff fantastic office good location,friendly professional staff fantastic office good location,friendly professional staff fantastic office good location,most roles are fixed term,most role be fix term,role fix term,role fix term,"{'hr & recruitment': {1: 0.004192157, 2: 0.0061821705, 3: 0.08802788, 4: 0.49345967, 5: 0.4081382, 'label': 4}, 'office & location': {1: 0.0037777878, 2: 0.005711344, 3: 0.07981593, 4: 0.47593766, 5: 0.43475732, 'label': 4}}","{'hr & recruitment': {1: 0.003796186, 2: 0.0054422366, 3: 0.08234067, 4: 0.48606777, 5: 0.4223531, 'label': 4}, 'office & location': {1: 0.003432826, 2: 0.004966487, 3: 0.07347115, 4: 0.47390172, 5: 0.44422778, 'label': 4}}","{'hr & recruitment': {1: 0.003796186, 2: 0.0054422366, 3: 0.08234067, 4: 0.48606777, 5: 0.4223531, 'label': 4}, 'office & location': {1: 0.003432826, 2: 0.004966487, 3: 0.07347115, 4: 0.47390172, 5: 0.44422778, 'label': 4}}","{'hr & recruitment': {1: 0.003796186, 2: 0.0054422366, 3: 0.08234067, 4: 0.48606777, 5: 0.4223531, 'label': 4}, 'office & location': {1: 0.003432826, 2: 0.004966487, 3: 0.07347115, 4: 0.47390172, 5: 0.44422778, 'label': 4}}","{'job role clarity': {1: 0.2190298, 2: 0.31975403, 3: 0.33252814, 4: 0.10272635, 5: 0.02596163, 'label': 3}}","{'job role clarity': {1: 0.24075466, 2: 0.30099806, 3: 0.30852023, 4: 0.11387508, 5: 0.03585198, 'label': 3}}","{'job role clarity': {1: 0.20352836, 2: 0.25578457, 3: 0.323686, 4: 0.15655427, 5: 0.06044677, 'label': 3}}","{'job role clarity': {1: 0.20352836, 2: 0.25578457, 3: 0.323686, 4: 0.15655427, 5: 0.06044677, 'label': 3}}"
75672,Sky,"Free Sky
Your day off
End of working shift",Where do I start. The management are by far the worse people in the world. Not there to help or assist you. No help during your 1st few weeks on phones from the floor walkers. I honestly cannot find a positive thing to say about Sky.,Free Sky Your day off End of working shift,free sky your day off end of work shift,free sky day end work shift,free sky day end work shift,Where do I start. The management are by far the worse people in the world. Not there to help or assist you. No help during your 1st few weeks on phones from the floor walkers. I honestly cannot find a positive thing to say about Sky.,where do I start the management be by far the bad people in the world not there to help or assist you no help during your 1st few week on phone from the floor walker I honestly can not find a positive thing to say about sky,start management far bad people world help assist help 1st week phone floor walker honestly find positive thing sky,start management far bad people world help assist help week phone floor walker honestly find positive thing sky,"{'work-life balance': {1: 0.023116669, 2: 0.030739356, 3: 0.20313479, 4: 0.4413801, 5: 0.30162907, 'label': 4}}","{'work-life balance': {1: 0.029209305, 2: 0.03524595, 3: 0.19789775, 4: 0.41854367, 5: 0.31910336, 'label': 4}}","{'work-life balance': {1: 0.0154750915, 2: 0.024373535, 3: 0.2158494, 4: 0.47059754, 5: 0.27370444, 'label': 4}}","{'work-life balance': {1: 0.0154750915, 2: 0.024373535, 3: 0.2158494, 4: 0.47059754, 5: 0.27370444, 'label': 4}}","{'management': {1: 0.61811006, 2: 0.32836992, 3: 0.04771767, 4: 0.0041411617, 5: 0.0016612518, 'label': 1}, 'people': {1: 0.62571496, 2: 0.3235286, 3: 0.04456156, 4: 0.004312665, 5: 0.001882251, 'label': 1}}","{'management': {1: 0.63179857, 2: 0.28250888, 3: 0.073037796, 4: 0.008995327, 5: 0.0036594963, 'label': 1}, 'people': {1: 0.63866365, 2: 0.2802254, 3: 0.069193356, 4: 0.008409535, 5: 0.0035080435, 'label': 1}}","{'management': {1: 0.52211434, 2: 0.23501015, 3: 0.13831092, 4: 0.061401293, 5: 0.043163277, 'label': 1}, 'people': {1: 0.54495394, 2: 0.23230517, 3: 0.12733975, 4: 0.05597549, 5: 0.039425667, 'label': 1}}","{'management': {1: 0.48262975, 2: 0.24715845, 3: 0.15547779, 4: 0.069550686, 5: 0.04518327, 'label': 1}, 'people': {1: 0.5092832, 2: 0.2457561, 3: 0.14243548, 4: 0.062101327, 5: 0.040423855, 'label': 1}}"
